SpeciesName,LAI Value
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",2.9
"Alnus, Betual exilis, Salix alaxensis, Salix pulchra",2.27
Alopecurus geniculatus,7.21
Alopecurus geniculatus,4.3
Alopecurus geniculatus,4.98
Alopecurus geniculatus,5.49
Alopecurus geniculatus,5.81
Alopecurus geniculatus,5.96
Alopecurus geniculatus,5.93
Alopecurus geniculatus,5.73
Alopecurus geniculatus,5.34
Alopecurus geniculatus,4.78
Alopecurus pratensis,7.65
Alopecurus pratensis,2.9
Alopecurus pratensis,3.42
Alopecurus pratensis,3.89
Alopecurus pratensis,4.33
Alopecurus pratensis,4.72
Alopecurus pratensis,5.08
Alopecurus pratensis,5.39
Alopecurus pratensis,5.66
Alopecurus pratensis,5.9
Alopecurus pratensis,6.09
Alopecurus pratensis,6.24
Alopecurus pratensis,6.35
Alopecurus pratensis,6.43
Alopecurus pratensis,6.46
Alopecurus pratensis,6.45
Alopecurus pratensis,6.4
Alopecurus pratensis,6.31
Alopecurus pratensis,6.18
Alopecurus pratensis,6.01
Alopecurus pratensis,5.8
"Amaioua guianensis, Ocotea acutangula, Aspidosperma excelsum etc.",5
Amomyrtus meli,3.6
Andromeda polifolia,0.23
Annona crassiflora,0.76
Annona crassiflora,0.89
Annona crassiflora,0.98
Annona crassiflora,1.15
Annona crassiflora,1
Annona crassiflora,1.17
Annona crassiflora,1.03
Annona crassiflora,1.2
Annona crassiflora,1.09
Annona crassiflora,1.28
Annona crassiflora,1.22
Annona crassiflora,1.43
Annona crassiflora,1.14
Annona crassiflora,1.33
Annona crassiflora,1.33
Annona crassiflora,1.56
Annona crassiflora,0.72
Annona crassiflora,0.84
Annona crassiflora,1.08
Annona crassiflora,1.26
"Anogeissus latifolia, Diospyros melanoxylon, Buchanania lanzan, Pterocarpus marsupium et al.",3.76
"Anogeissus latifolia, Diospyros melanoxylon, Buchanania lanzan, Pterocarpus marsupium et al.",3.65
Anthoxanthum odoratum,7.34
Anthoxanthum odoratum,3.71
Anthoxanthum odoratum,4.17
Anthoxanthum odoratum,4.58
Anthoxanthum odoratum,4.93
Anthoxanthum odoratum,5.24
Anthoxanthum odoratum,5.5
Anthoxanthum odoratum,5.71
Anthoxanthum odoratum,5.87
Anthoxanthum odoratum,5.98
Anthoxanthum odoratum,6.04
Anthoxanthum odoratum,6.06
Anthoxanthum odoratum,6.02
Anthoxanthum odoratum,5.93
Anthoxanthum odoratum,5.79
Anthoxanthum odoratum,5.61
Anthoxanthum odoratum,5.37
Anthoxanthum odoratum,5.08
Anthoxanthum odoratum,4.75
Anthoxanthum odoratum,4.36
Anthoxanthum odoratum,3.93
Anthyllis vulneraria,5.52
Anthyllis vulneraria,2.31
Anthyllis vulneraria,3.05
Anthyllis vulneraria,3.66
Anthyllis vulneraria,4.14
Anthyllis vulneraria,4.48
Anthyllis vulneraria,4.7
Anthyllis vulneraria,4.55
Anthyllis vulneraria,4.24
Anthyllis vulneraria,3.8
Apera spica-venti,5.64
Apera spica-venti,3.51
Apera spica-venti,5.39
Apera spica-venti,6.56
Apera spica-venti,7.04
Apera spica-venti,6.82
Apera spica-venti,5.9
Apera spica-venti,4.28
Aporusa grandistipula,1.32
Aporusa lucida,0.86
Arbutus unedo,3.05
Arctium lappa,4.72
Arctium lappa,2.27
Arctium lappa,2.75
Arctium lappa,3.14
Arctium lappa,3.46
Arctium lappa,3.7
Arctium lappa,3.86
Arctium lappa,3.94
Arctium lappa,3.94
Arctium lappa,3.86
Arctium lappa,3.7
Arctium lappa,3.46
Arctium lappa,3.13
Arrhenatherum elatius,7.66
Arrhenatherum elatius,2.61
Arrhenatherum elatius,3.24
Arrhenatherum elatius,3.82
Arrhenatherum elatius,4.34
Arrhenatherum elatius,4.81
Arrhenatherum elatius,5.24
Arrhenatherum elatius,5.6
Arrhenatherum elatius,5.92
Arrhenatherum elatius,6.18
Arrhenatherum elatius,6.4
Arrhenatherum elatius,6.56
Arrhenatherum elatius,6.67
Arrhenatherum elatius,6.72
Arrhenatherum elatius,6.73
Arrhenatherum elatius,6.68
Arrhenatherum elatius,6.58
Arrhenatherum elatius,6.43
Artemesia tridentata,1.25
Artemisia ordosica,0.3
Artemisia tridentata,1
"Aspidosperma album, Mauritia carana (total 53 species)",2.6
"Aspidosperma album, Mauritia carana (total 53 species)",2.6
"Aspidosperma album, Mauritia carana (total 53 species)",1.5
Aspidosperma spp. (198 species in 4 ha),5.2
Atriplex canescens,2.99
Atriplex confertifolia,2.12
Atriplex lentiformis (Torr.),2.82
Avicennia germinans,2.75
Avicennia germinans,1.61
Avicennia marina,3.45
Avicennia marina,0.56
Avicennia marina,1.06
Avicennia marina,1.1
Avicennia marina,3
"Avicennia marina, Rhizophora stylosa",2.6
"Avicennia marina, Rhizophora stylosa",2.4
"Avicennia marina, Rhizophora stylosa",3.4
"Avicennia marina, Rhizophora stylosa",1.7
"Banksia, Xanth, Blackbutt, Casurina etc.",2.37
Betula,2.27
Betula aetnensis,3.8
Betula ermanii,5.46
Betula ermanii,5.2
Betula ermanii,5.55
"Betula ermanii, Quercus crispula",7.21
Betula erumani,3.59
Betula erumani,3.11
Betula erumani,3.36
Betula glandulosa,0.52
"Betula glandulosa, Salix spp.",1.89
"Betula glandulosa, Salix spp., Picea glauca",2.27
"Betula glandulosa, Vaccinium uliginosum",1.7
Betula maximowixziana,4.06
Betula maximowixziana,5.19
Betula maximowixziana,3.67
Betula nana,0.97
Betula nana,1.02
Betula nana,2.64
"Betula nana, Eriophorum vaginatum, Sphagnum mosses",2.15
"Betula nana, Ledum decumbens, Salix pulchra",1.65
"Betula papyrifera, Acer saccharum, Populus tremuloides",5.9
"Betula papyrifera, Fagus grandifolia",3.39
"Betula papyrifera, Populus tremuloides",4
Betula pendula,1.54
Betula pendula,3.7
Betula pendula,3.21
Betula pendula,3.88
Betula pendula,3.03
Betula pendula,4.07
Betula pendula,4.09
Betula pendula,2.07
Betula pendula,0.66
Betula pendula,3.08
Betula pendula,2.56
Betula pendula,1.57
Betula pendula,1.65
Betula pendula,2.91
Betula pendula,3
Betula pendula,2.94
Betula pendula,1.54
Betula pendula,3.63
Betula pendula,4.64
Betula pendula,1.21
Betula pendula,1.96
Betula pendula,3.01
Betula pendula,5.34
Betula pendula,4.34
Betula pendula,1.73
Betula pendula,4.27
Betula pendula,3.08
Betula pendula,4
Betula pendula,3.89
Betula pendula,4.28
Betula pendula,4.05
Betula pendula,2.42
Betula pendula,4.7
Betula pendula,3.72
"Betula pendula, Alnus sp.",4.69
"Betula pendula, Alnus sp.",3.11
"Betula pendula, Betula pubescens",0.47
"Betula pendula, Betula pubescens",2.98
"Betula pendula, Betula pubescens",2.12
"Betula pendula, Betula pubescens",1.63
"Betula pendula, Betula pubescens",1.87
"Betula pendula, Betula pubescens",1.9
"Betula pendula, Betula pubescens",2.5
"Betula pendula, Betula pubescens",0.7
"Betula pendula, Betula pubescens",0.91
"Betula pendula, Betula pubescens",1.52
"Betula pendula, Betula pubescens",1.77
Betula platyphylla,1.1
Betula platyphylla,3.5
"Betula platyphylla, Quercus mongolica, Acer mono, Kalopanax pictus, Tilia japonica, Ulmus davidiana",4
Betula pubescens,2.6
Betula pubescens,5.12
Betula pubescens,2.85
Betula pubescens,4.58
Betula pubescens,4.89
Betula pubescens,2
Betula pubescens,2.5
Betula pubescens,2.74
Betula pubescens,3.57
Betula pubescens,2.85
Betula pubescens,1.48
Betula pubescens,2.03
Betula pubescens,3.78
Betula pubescens,0.99
Betula pubescens,2.09
Betula pubescens,3.9
Betula pubescens,2.5
Betula pubescens,3.8
Betula pubescens,0.76
Betula pubescens,1.57
Betula spp.,5.69
Betula spp.,1.16
Betula spp.,1.6
Betula verrucosa,6.2
Betula verrucosa,3.5
Betula verrucosa,4.1
Betula verrucosa,1.7
Betula verrucosa,2.8
Betula verrucosa,4.1
Betula verrucosa,5.9
Betula verrucosa,6.5
Brachypodium sylvaticum,6.82
Brachypodium sylvaticum,5.65
Brachypodium sylvaticum,5.57
Brachypodium sylvaticum,5.48
Brachypodium sylvaticum,5.39
Brachypodium sylvaticum,5.3
Brachypodium sylvaticum,5.2
Brachypodium sylvaticum,4.89
Brachypodium sylvaticum,4.78
Brachypodium sylvaticum,4.67
Brachypodium sylvaticum,4.18
Brachypodium sylvaticum,4.05
Brachypodium sylvaticum,3.92
Brachypodium sylvaticum,3.64
Brachypodium sylvaticum,3.5
"Brachystegia spiciformis, B. bakerana",2.15
Bromus hordeaceus,3.78
Bromus hordeaceus,0.62
Bromus hordeaceus,1.26
Bromus hordeaceus,1.82
Bromus hordeaceus,2.3
Bromus hordeaceus,2.69
Bromus hordeaceus,3.01
Bromus hordeaceus,3.24
Bromus hordeaceus,3.39
Bromus hordeaceus,3.35
Bromus hordeaceus,3.18
Bruguiera conjugata,6.5
Bruguiera conjugata,8.7
"Bruguiera gymnorrhiza, Bruguiera sexangula, Kandelia obovata, R. stylosa",4.48
"Bucida buceras, Gymnanthes lucida, Bursera simaruba",4.2
Byrsonima coccolobifolia,1.01
Byrsonima coccolobifolia,1.18
Byrsonima coccolobifolia,1.34
Byrsonima coccolobifolia,1.57
Byrsonima coccolobifolia,0.85
Byrsonima coccolobifolia,1
Byrsonima coccolobifolia,1.82
Byrsonima coccolobifolia,2.14
Byrsonima coccolobifolia,1.26
Byrsonima coccolobifolia,1.47
Byrsonima coccolobifolia,1.3
Byrsonima coccolobifolia,1.53
Byrsonima coccolobifolia,1.39
Byrsonima coccolobifolia,1.63
Byrsonima coccolobifolia,0.58
Byrsonima coccolobifolia,0.68
Byrsonima coccolobifolia,1.92
Byrsonima coccolobifolia,2.25
Byrsonima coccolobifolia,0.36
Byrsonima coccolobifolia,0.42
Byrsonima coccolobifolia,2.18
Byrsonima coccolobifolia,2.56
Byrsonima verbascifolia,1.63
Byrsonima verbascifolia,1.91
Byrsonima verbascifolia,1.28
Byrsonima verbascifolia,1.5
Byrsonima verbascifolia,1.11
Byrsonima verbascifolia,1.3
Byrsonima verbascifolia,1.65
Byrsonima verbascifolia,1.94
Byrsonima verbascifolia,2.03
Byrsonima verbascifolia,2.38
Byrsonima verbascifolia,0.74
Byrsonima verbascifolia,0.86
Byrsonima verbascifolia,1.46
Byrsonima verbascifolia,1.71
Byrsonima verbascifolia,1.7
Byrsonima verbascifolia,2
Byrsonima verbascifolia,0.9
Byrsonima verbascifolia,1.05
Byrsonima verbascifolia,1.13
Byrsonima verbascifolia,1.32
Calamagrostis epigejos,6.42
Calamagrostis epigejos,3.21
Calamagrostis epigejos,3.4
Calamagrostis epigejos,3.58
Calamagrostis epigejos,3.75
Calamagrostis epigejos,3.92
Calamagrostis epigejos,4.08
Calamagrostis epigejos,4.23
Calamagrostis epigejos,4.37
Calamagrostis epigejos,4.51
Calamagrostis epigejos,4.64
Calamagrostis epigejos,4.76
Calamagrostis epigejos,4.87
Calamagrostis epigejos,4.97
Calamagrostis epigejos,5.07
Calamagrostis epigejos,5.15
Calamagrostis epigejos,5.23
Calamagrostis epigejos,5.31
Calamagrostis epigejos,5.37
Calamagrostis epigejos,5.43
Calamagrostis epigejos,5.47
Calamus spp.,5.4
Camellia japonica,6.2
Camellia japonica,5.6
Camellia japonica,3.7
Camellia japonica,6.8
Camellia japonica,6.42
Camellia japonica,5.42
Camellia japonica,4.05
Camellia japonica,5.65
"Camellia japonica, Machilus thunbergii",6.3
Campanula rotundifolia,1.09
Campanula rotundifolia,2.61
Campanula rotundifolia,2.87
Campanula rotundifolia,2.97
Campanula rotundifolia,2.9
Campanula rotundifolia,2.68
Campanula rotundifolia,2.3
Campanula rotundifolia,1.75
Campanula rotundifolia,0.28
Campanula rotundifolia,0.33
Campanula rotundifolia,0.38
Campanula rotundifolia,0.45
Campanula rotundifolia,0.52
Campanula rotundifolia,0.6
Campanula rotundifolia,0.7
Campanula rotundifolia,0.8
Campanula rotundifolia,0.91
Campanula rotundifolia,1.03
Campanula rotundifolia,1.16
Campanula rotundifolia,1.3
Campanula rotundifolia,1.45
Canarium denticulatum,1.04
Canarium pilosum,0.71
Carapa guianensis,2.9
"Carex limosa, Smilacina trifolia, Andromeda polifolia, Picea mariana",1.5
"Carnegiea gigantea, Cercidium microphyllum, Fouquieria splendens",0.94
Carpinus betulus,8.73
"Carpinus betulus, Fagus sylvatica, Quercus petraea, Tilia cordata ",7.8
"Carpinus orientalis, Quercus pubescentis",5.7
"Carya spp., Quercus Prinus",6.7
"Carya spp., Quercus Prinus",4.1
"Carya tomentosa, Liriodendron tulipifera",4.7
Caryocar brasiliense,1.62
Caryocar brasiliense,1.9
Caryocar brasiliense,1.79
Caryocar brasiliense,2.1
Caryocar brasiliense,1.16
Caryocar brasiliense,1.36
Caryocar brasiliense,1.52
Caryocar brasiliense,1.79
Caryocar brasiliense,0.88
Caryocar brasiliense,1.03
Caryocar brasiliense,1.05
Caryocar brasiliense,1.23
Caryocar brasiliense,0.98
Caryocar brasiliense,1.15
Caryocar brasiliense,1.26
Caryocar brasiliense,1.47
Caryocar brasiliense,2.01
Caryocar brasiliense,2.35
Caryocar brasiliense,1.31
Caryocar brasiliense,1.54
Cassiope tetragona,1.1
Cassiope tetragona,0.78
Cassiope tetragona,0.4
Cassiope tetragona,0.5
Cassiope tetragona,0.41
Cassiope tetragona,0.46
Cassiope tetragona,0.65
Cassiope tetragona,0.85
Cassiope tetragona,0.36
Castanea sativa,3.7
Castanea sativa,3.29
Castanea sativa,6.5
Castanea sativa,5.3
Castanea sativa,5.58
Castanea sativa and others,5.14
Castanea sativa and others,7.45
Castanea sativa and others,5.81
Castanea sativa and others,6.4
Castanea sativa and others,2.88
"Castanea sativa, Corylus avellana, Acer pseudoplatanus",3.86
"Castanea, Pinus",4.01
Castanopsis cuspidata,8.2
Castanopsis cuspidata,12.8
Castanopsis cuspidata,11.7
Castanopsis cuspidata,11.1
Castanopsis cuspidata,9.4
Castanopsis cuspidata,7.2
Castanopsis cuspidata,5.2
Castanopsis cuspidata,7.4
Castanopsis cuspidata,5.99
Castanopsis cuspidata ,8.86
Cecropia,4.13
"Cecropia sp., Clusia sp., Miconia sp., Psychotria sp. etc.",3.6
Cecropia spp.,11.6
Cecropia spp.,16.5
"Cecropia, Laetia",3.54
"Cecropia, Laetia",4.46
"Cecropia, Laetia",4.07
Centaurium erythraea,3.83
Centaurium erythraea,1.74
Centaurium erythraea,2.16
Centaurium erythraea,2.5
Centaurium erythraea,2.78
Centaurium erythraea,2.98
Centaurium erythraea,3.11
Centaurium erythraea,3.08
Centaurium erythraea,2.93
Centaurium erythraea,2.71
"Cercidium microphyllum, Franseria deltoidea, Fouquieria splendens",0.59
Cercocarpus breviflorus,1.4
Chamaecyparis obtusa,4.46
Chamaecyparis obtusa,5.51
Chamaecyparis obtusa,3.8
Chamaecyparis obtusa,5.1
Chamaecyparis obtusa,6.4
Chamaecyparis obtusa,6.9
Chamaecyparis obtusa,6.8
Chamaecyparis obtusa,5.3
Chamaecyparis obtusa,4.8
Chamaecyparis obtusa,5.4
Chamaecyparis obtusa,4.7
Chamaecyparis obtusa,5.77
Chamaecyparis obtusa,6.3
Chamaecyparis obtusa,6.3
Chamaecyparis obtusa,7.1
Chamaecyparis obtusa,6.4
Chamaecyparis obtusa,5.4
Chamaecyparis obtusa,5.6
Chamaecyparis obtusa,5.9
Chamaecyparis obtusa,5.8
Chamaecyparis obtusa,6
Chamaecyparis obtusa,4.7
Chamaecyparis obtusa,5.9
Chamaecyparis obtusa,5.4
Chamaecyparis obtusa,6.6
Chamaecyparis obtusa,5.7
Chamaecyparis obtusa,6.2
Chamaecyparis obtusa,5.5
Chamaedaphne calyculata,1.92
"Chamaedaphne calyculata, Ledum groenlandicum, Kalmia angustifolia, Kalmia polifolia, Andromeda glaucophylla",0.82
"Chamaedaphne calyculata, Ledum groenlandicum, Kalmia angustifolia, Kalmia polifolia, Andromeda glaucophylla",1.21
Chrysothamnus consimilis,2.02
Cinnamomum camphora,6.11
"Cinnamomum camphora, Machilus thunbergii, Quercus serrata, Castanopsis cuspidate, Ulmus parvifolia, Quercus glauca",4.8
"Cinnamomum randaiense, Cryptocarya chinesis, Persea zuihoenisis, Castanopsis hystrix, Gordonia axillaris 
",4.5
Cirsium acaule,5.31
Cirsium acaule,3.62
Cirsium acaule,3.76
Cirsium acaule,3.88
Cirsium acaule,3.98
Cirsium acaule,4.05
Cirsium acaule,4.1
Cirsium acaule,4.11
Cirsium acaule,4.07
Cirsium acaule,4
Cirsium acaule,3.49
Cirsium acaule,3.31
Cirsium acaule,3.1
Cirsium acaule,2.61
Cirsium acaule,2.33
Cirsium arvense,6.62
Cirsium arvense,3.98
Cirsium arvense,4.14
Cirsium arvense,4.28
Cirsium arvense,4.41
Cirsium arvense,4.52
Cirsium arvense,4.62
Cirsium arvense,4.71
Cirsium arvense,4.78
Cirsium arvense,4.84
Cirsium arvense,4.88
Cirsium arvense,4.92
Cirsium arvense,4.93
Cirsium arvense,4.94
Cirsium arvense,4.92
Cirsium arvense,4.9
Cirsium arvense,4.86
Cirsium arvense,4.81
Cirsium arvense,4.74
Cirsium arvense,4.66
Cirsium arvense,4.57
Cistus albidus,2.2
Cistus monospeliensis,1.36
