id,species,common_name,category,mean_lai,lai_min,lai_max,measurement_count,pft,canopy_form,climate,deciduous,tier,tier_source,sources,notes
13,Acer spicatum,Mountain Maple,Tree,6.91,6.91,6.91,1,TeBD,round,temperate,TRUE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
14,Cirsium arvense,Creeping Thistle,Groundcover,6.62,6.62,6.62,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
15,Calamagrostis epigejos,Wood Small-reed,Grass,4.82,3.21,6.42,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
16,Anthyllis vulneraria,Kidney Vetch,Groundcover,5.52,5.52,5.52,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
17,Digitalis purpurea,Foxglove,Groundcover,5.42,5.42,5.42,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
18,Cirsium acaule,Stemless Thistle,Groundcover,5.31,5.31,5.31,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
19,Aegopodium podagraria,Ground Elder,Groundcover,5.04,5.04,5.04,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
20,Arctium lappa,Greater Burdock,Groundcover,4.72,4.72,4.72,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
21,Deschampsia cespitosa,Tufted Hair-grass,Grass,4.52,4.52,4.52,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
22,Centaurium erythraea,Common Centaury,Groundcover,3.83,3.83,3.83,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
23,Bromus hordeaceus,Soft Brome,Grass,3.79,3.79,3.79,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
24,Brachypodium sylvaticum,False Brome,Grass,3.5,3.5,3.5,1,TeGr,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
25,Campanula rotundifolia,Harebell,Groundcover,2.97,2.97,2.97,1,TeGC,flat,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
26,Dalbergia miscolobium,Brazilian Rosewood,Tree,2.52,2.52,2.52,1,TrBD,round,tropical,TRUE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
27,Byrsonima coccolobifolia,Murici,Tree,2.57,2.57,2.57,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
28,Byrsonima verbascifolia,Maria Preta,Tree,2.39,2.39,2.39,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
29,Caryocar brasiliense,Pequi,Tree,2.36,2.36,2.36,1,TrBD,spreading,tropical,TRUE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
30,Annona crassiflora,Marolo,Tree,1.57,1.57,1.57,1,TrBD,round,tropical,TRUE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
31,Dacryodes rostrata,Kedongdong Hutan,Tree,1.06,1.06,1.06,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
32,Canarium denticulatum,Kedongdong,Tree,1.05,1.05,1.05,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
33,Cleistanthus paxii,Cleistanthus,Tree,0.98,0.98,0.98,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
34,Dacryodes laxa,Forest Canarium,Tree,0.96,0.96,0.96,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
35,Cleistanthus baramicus,Cleistanthus,Tree,0.89,0.89,0.89,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
36,Aporusa lucida,Aporusa,Tree,0.86,0.86,0.86,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
37,Canarium pilosum,Hairy Canarium,Tree,0.71,0.71,0.71,1,TrBE,round,tropical,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
38,Aextoxicon punctatum,Olivillo,Tree,4.6,4.6,4.6,1,TeBE,round,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
39,Amomyrtus meli,Meli,Tree,3.6,3.6,3.6,1,TeBE,round,temperate,FALSE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
40,Cornus stolonifera,Red-osier Dogwood,Shrub,0.23,0.23,0.23,1,TeDS,hemisphere,temperate,TRUE,1,Direct_Field,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009)
41,Abies concolor,,Tree,14.48,8.17,20.75,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
42,Thujopsis dolabrata,,Tree,14.27,12.6,17.5,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
43,Sequoia sempervirens,,Tree,12.8,9.5,14.48,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
44,Pseudotsuga menziesii,,Tree,12.64,3.37,34.96,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
45,Abies fraseri,,Tree,12.3,12.3,12.3,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
46,Abies amabilis,,Tree,11.63,11.63,11.63,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
47,Pinus nigra,,Tree,11.46,8.2,14.73,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
48,Abies lasiocarpa,,Tree,11.38,8.07,14.7,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
49,Eucalyptus sieberii,,Tree,11.0,11.0,11.0,1,TeBD,round,tropical,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
50,Shorea robusta,,Tree,10.83,6.0,14.02,1,TeBD,round,tropical,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
51,Abies georget,,Tree,10.48,8.86,12.41,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
52,Swietenia macrophylla,,Tree,10.4,10.4,10.4,1,TeBD,round,tropical,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
53,Abies balsamea,,Tree,10.32,5.2,15.6,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
54,Quercus crispula,,Tree,10.1,8.1,12.1,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
55,Metasequoia glyptostroboides,,Tree,9.53,9.53,9.53,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
56,Tectona grandis,,Tree,9.33,0.96,17.4,1,TeBD,round,tropical,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
57,Cryptomeria japonica,,Tree,9.26,2.71,17.2,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
58,Picea sitchensis,,Tree,9.1,9.1,9.1,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
59,Abies homolepis,,Tree,9.0,7.4,10.6,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
60,Turreanthus africana,,Tree,9.0,9.0,9.0,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
61,Dacryodes klaineana,,Tree,9.0,9.0,9.0,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
62,Abies fabri,,Tree,8.99,7.78,10.21,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
63,Castanopsis cuspidata,,Tree,8.79,5.2,12.8,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
64,Carpinus betulus,,Tree,8.73,8.73,8.73,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
65,Quercus myrsinifolia,,Tree,8.37,8.0,9.0,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
66,Tsuga canadensis,,Tree,8.1,3.09,13.1,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
67,Pinus echinata,,Tree,7.8,7.8,7.8,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
68,Nothofagus truncata,,Tree,7.4,7.4,7.4,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
69,Dacryodes excelsa,,Tree,7.34,7.34,7.34,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
70,Graffenrieda emarginata,,Tree,7.19,6.59,8.08,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
71,Nothofagus fusca,,Tree,7.0,7.0,7.0,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
72,Quercus semicarpiforlia,,Tree,6.81,6.81,6.81,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
73,Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,,Tree,6.73,4.46,9.77,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
74,Pinus radiata,,Tree,6.72,1.56,14.0,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
75,Abies firma,,Tree,6.7,6.7,6.7,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
76,Larix leptolepis,,Tree,6.68,6.68,6.68,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
77,Liriodendron tulipifera,,Tree,6.65,5.1,7.4,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
78,Picea rubens,,Tree,6.58,1.73,14.8,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
79,Acer saccharum,,Tree,6.58,3.25,8.1,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
80,Picea stichensis,,Tree,6.55,4.79,8.5,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
81,Abies alba,,Tree,6.5,5.4,7.8,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
82,Quercus prinus,,Tree,6.33,4.3,8.2,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
83,Hopea ferrea,,Tree,6.3,6.3,6.3,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
84,Populus deltoides,,Tree,6.25,5.7,6.8,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
85,Aesculus octandra,,Tree,6.2,6.2,6.2,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
86,Cinnamomum camphora,,Tree,6.11,6.11,6.11,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
87,Picea abies,,Tree,6.09,0.48,21.6,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
88,Fagus grandifolia,,Tree,6.06,2.9,14.8,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
89,Fraxinus oruns,,Tree,6.05,6.05,6.05,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
90,Populus balsamifera,,Tree,6.0,6.0,6.0,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
91,Pinus elliotti,,Tree,5.99,5.99,5.99,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
92,Acer,,Tree,5.99,5.99,5.99,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
93,Acer rubrum,,Tree,5.97,5.14,6.8,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
94,Tsuga mertensiana,,Tree,5.9,2.8,10.0,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
95,Fagus sylvatica,,Tree,5.85,2.28,10.2,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
96,Quercus phillyraeoides,,Tree,5.82,5.74,5.9,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
97,Elaeagnus umbellata,,Tree,5.8,5.8,5.8,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
98,Nothofagus solandri,,Tree,5.78,3.0,8.9,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
99,Prunus pensylvanica,,Tree,5.73,5.4,6.3,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
100,Chamaecyparis obtusa,,Tree,5.71,3.8,7.1,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
101,Castanea sativa and others,,Tree,5.54,2.88,7.45,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
102,Liquidambar styraciflua,,Tree,5.5,5.5,5.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
103,Quercus mongolica,,Tree,5.5,5.5,5.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
104,Quercus serrata,,Tree,5.48,3.1,8.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
105,Pinus resinosa,,Tree,5.47,2.5,10.7,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
106,Betula ermanii,,Tree,5.4,5.2,5.55,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
107,Quercus,,Tree,5.37,4.31,6.03,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
108,Theobroma cacao,,Tree,5.37,4.1,6.3,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
109,Alnus glutinosa,,Tree,5.34,2.07,8.26,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
110,Pinus strobus,,Tree,5.31,1.5,17.8,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
111,Magnolia obovata,,Tree,5.3,5.3,5.3,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
112,Abies grandis,,Tree,5.3,5.3,5.3,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
113,Tsuga sieboldii,,Tree,5.3,5.3,5.3,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
114,Quercus petraea and others,,Tree,5.26,4.67,5.86,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
115,Quercus acutissima,,Tree,5.25,2.9,7.1,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
116,Alnus rubra,,Tree,5.2,3.9,6.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
117,Quercus patraea,,Tree,5.2,5.2,5.2,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
118,Fagus crenata,,Tree,5.06,3.19,7.84,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
119,Abies veitchii,,Tree,5.0,5.0,5.0,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
120,Quercus petraea,,Tree,4.99,1.71,6.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
121,Cyrilla racemiflora,,Tree,4.96,4.96,4.96,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
122,Abies religiosa,,Tree,4.96,4.96,4.96,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
123,Castanea sativa,,Tree,4.87,3.29,6.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
124,Tamarix chinensis,,Tree,4.85,4.85,4.85,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
125,Quercus cerris,,Tree,4.84,3.8,7.4,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
126,Fagus orientalis,,Tree,4.77,4.3,5.2,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
127,Micarandra sprucei,,Tree,4.72,4.72,4.72,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
128,Fraxinus excelsior,,Tree,4.69,3.6,5.4,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
129,Pinus densiflora,,Tree,4.65,4.08,5.15,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
130,Pinus,,Tree,4.65,2.01,7.29,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
131,Metrosideros polymorpha,,Tree,4.61,0.61,8.0,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
132,Picea glauca,,Tree,4.58,2.76,6.4,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
133,Eucalyptus regnans,,Tree,4.57,3.11,9.0,1,TeBD,round,tropical,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
134,Eucalyptus grandis*Eucalyptus urophylla hybrids,,Tree,4.49,3.54,5.83,1,TeBD,round,tropical,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
135,Podocarpus nubigena,,Tree,4.45,4.2,4.7,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.
136,Larix sibirica,,Tree,4.4,4.4,4.4,1,TeBD,conical,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
137,Betula verrucosa,,Tree,4.35,1.7,6.5,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
138,Betula maximowixziana,,Tree,4.31,3.67,5.19,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
139,Nothofagus pumila,,Tree,4.3,4.3,4.3,1,TeBD,round,temperate,FALSE,2,ORNL_TRY_Measured,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.
