id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
28,Canarium denticulatum,,,,,Kedongdong,tree,Tree,evergreen,,"Af,Am,Aw",1.05,1.05,1.05,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
29,Canarium pilosum,,,,,Hairy Canarium,tree,Tree,evergreen,,"Af,Am,Aw",0.71,0.71,0.71,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
30,Caryocar brasiliense,,,,,Pequi,tree,Tree,drought-deciduous,,"Af,Am,Aw",2.36,2.36,2.36,,1,PFT-inferred,inferred,,TrBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
31,Cleistanthus baramicus,,,,,Cleistanthus,tree,Tree,evergreen,,"Af,Am,Aw",0.89,0.89,0.89,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
32,Cleistanthus paxii,,,,,Cleistanthus,tree,Tree,evergreen,,"Af,Am,Aw",0.98,0.98,0.98,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
33,Dacryodes laxa,,,,,Forest Canarium,tree,Tree,evergreen,,"Af,Am,Aw",0.96,0.96,0.96,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
34,Dacryodes rostrata,,,,,Kedongdong Hutan,tree,Tree,evergreen,,"Af,Am,Aw",1.06,1.06,1.06,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
35,Dalbergia miscolobium,,,,,Brazilian Rosewood,tree,Tree,drought-deciduous,,"Af,Am,Aw",2.52,2.52,2.52,,1,PFT-inferred,inferred,,TrBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.0.0,FALSE,
36,Ficus benjamina,,,,,Weeping Fig,tree,Tree,evergreen,,"Af,Am,Aw",4.2,3.2,5.2,,1,LAI-2000,urban,,TrBE,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.0.0,FALSE,
37,Pterocarpus indicus,,,,,Angsana,tree,Tree,drought-deciduous,,"Af,Am,Aw",4.5,3.5,5.5,,1,LAI-2000,urban,,TrBD,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.0.0,FALSE,
38,Samanea saman,,,,,Rain Tree,tree,Tree,evergreen,,"Af,Am,Aw",3.6,2.6,4.6,,1,LAI-2000,urban,,TrBE,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.0.0,FALSE,
39,Swietenia mahagoni,,,,,Mahogany,tree,Tree,evergreen,,"Af,Am,Aw",3.1,2.1,4.1,,1,LAI-2000,urban,,TrBE,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.0.0,FALSE,
40,Terminalia catappa,,,,,Sea Almond,tree,Tree,drought-deciduous,,"Af,Am,Aw",3.8,2.8,4.8,,1,LAI-2000,urban,,TrBD,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.0.0,FALSE,
41,Dendrocalamus strictus,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.08,5.08,5.08,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
42,Phyllostachys bambusoides,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",11.6,11.6,11.6,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
43,Phyllostachys pubescens,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.45,2.88,8.02,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
44,Sasa kurilensis,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",3.73,2.15,5.3,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
45,Sasa nikkoensis,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.2,5.2,5.2,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
46,Sasa nipponica,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",4.7,4.7,4.7,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
47,Sasa oseana,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",4.7,4.7,4.7,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
48,Sasa senanensis,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",3.25,3.25,3.25,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
49,Sasa tokugawana,,,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.3,5.3,5.3,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
50,Dense coniferous,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",6.74,6.74,6.74,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.0.0,FALSE,
51,Dipterocarp species,,,,,,,Generic-Benchmark,,,"Af,Am,Aw",7.27,7.27,7.27,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.0.0,FALSE,
52,Ericaceous vegetation,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",0.11,0.11,0.11,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.0.0,FALSE,
53,Evergreen forest,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",2.1,2.1,2.1,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.0.0,FALSE,
54,Not described,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",0.685,0.13,1.67,,22,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.0.0,FALSE,
55,Riparian forests,,,,,,,Generic-Benchmark,,,"Cfb,Dfb,Dfc",4.51,4.51,4.51,,2,mixed,natural,,,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY; ORNL Global LAI Woody Plants | TRY Database (summary)",Measured in natural/plantation context; not urban.,2026-05-25,1.0.0,FALSE,
56,Digitaria sanguinalis,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",2.47,0.78,3.37,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
57,Festuca ortophylla,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",0.32,0.32,0.32,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
58,Festuca ovina,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.45,0.46,6.34,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
59,Holcus lanatus,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.63,1.14,5.63,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
60,Luzula multiflora,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.27,2.57,4.66,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
61,Molinia caerulea,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",1.68,0.88,5.65,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
62,Nardus stricta,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",2.29,0.59,3.08,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
63,Phalaris arundinacea,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",6.1,6.1,6.1,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
64,Phalaris arundinaceae,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.17,1.81,4.86,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
65,Poa annua,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",2.42,0.18,5.99,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
66,Scirpus sylvaticus,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.38,2.25,4.75,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
67,Trisetum flavescens,,,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",6.0,3.74,8.14,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
68,Filipendula ulmaria,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.88,0.93,4.34,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
69,Geranium pratense,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.92,3.22,5.42,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
70,Geranium robertianum,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.71,2.68,5.25,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
71,Lamium purpureum,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.21,1.09,3.39,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
72,Lapsana communis,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.52,4.02,6.83,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
73,Medicago lupulina,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.76,1.89,3.78,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
74,Origanum vulgare,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.49,2.95,5.76,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
75,Plantago major,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.07,4.16,6.57,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
76,Pulicaria dysenterica,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.31,1.34,4.31,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
77,Stellaria media,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.46,0.25,4.64,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
78,Succisa pratensis,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.09,4.15,6.93,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
79,Taraxacum officinale,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.33,4.33,4.33,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
80,Taraxacum spec.,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.03,0.5,4.15,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
81,Thlaspi arvense,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",1.38,1.21,1.82,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
82,Trifolium pratense,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.34,1.95,6.37,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
83,Urtica dioica,,,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.57,1.85,4.86,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
84,Avicennia germinans,,,,,,mangrove,Mangrove,evergreen,,"Cfb,Dfb,Dfc",2.18,1.61,2.75,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
85,Avicennia marina,,,,,,mangrove,Mangrove,evergreen,,"Cfb,Dfb,Dfc",1.83,0.56,3.45,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
86,Bruguiera conjugata,,,,,,mangrove,Mangrove,evergreen,,"Cfb,Dfb,Dfc",7.6,6.5,8.7,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
87,Kandelia candel,,,,,,mangrove,Mangrove,evergreen,,"Cfb,Dfb,Dfc",2.57,0.64,4.5,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
88,Kandelia obovata,,,,,,mangrove,Mangrove,evergreen,,"Cfb,Dfb,Dfc",3.17,3.17,3.17,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
89,Laguncularia racemosa,,,,,,mangrove,Mangrove,evergreen,,"Cfb,Dfb,Dfc",4.69,4.4,5.29,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.0.0,FALSE,
